|context_id|context|question|answer|answer_start|answer_end
11|12|Moonlighting means working other professional, paid jobs outside of your work at 37signals. Its not a black and white topic. There are one-time gigs, other pursuits, or opportunities that help you grow and make life interesting. We want to support that. But we want to make sure professional endeavors outside of 37signals dont create conflicts of interest or affect your time, dedication, or performance at 37signals. So its a delicate balance.|What is it called when someone works other paid jobs?|Moonlighting|0|12
12|13|Moonlighting means working other professional, paid jobs outside of your work at 37signals. Its not a black and white topic. There are one-time gigs, other pursuits, or opportunities that help you grow and make life interesting. We want to support that. But we want to make sure professional endeavors outside of 37signals dont create conflicts of interest or affect your time, dedication, or performance at 37signals. So its a delicate balance.|How does the topic of Moonlighting effect the work environment?|Its not a black and white topic|92|124
13|14|With that in mind, here are some examples of what wed consider OK and what we would consider a conflict of interest and not OK:OK|What word do they use to describe what is considered to be a conflict of interest?|OK|63|65
14|15|An occasional side gig, free or paid, for someone you know. For example, if you want to work on a friends website, or a design or writing project for something youre involved with, thats fine. An occasional speaking gig, free or paid. Someones going to pay you to give a talk somewhere? Thats fine as long as it doesnt involve multiple days off for travel (unless you use your own personal vacation time against this travel time). A side business thats different from your day job, as long as the commitment is only a few hours a week. If you come to work exhausted because youre trying to start a full-time business on the side, its going to impact your performance here. Serve as an advisor for another company, or be on a board, as long as theres no conflict of interest. The time commitment must be under a few hours a month. And if theres a scheduling conflict, 37signals gets priority. Do volunteer or occasional pro-bono work for a cause youre actively involved with. A little work here and there is fine, but, for example, becoming an organizations full-time web designer and being on the hook to work during your standard work day, etc, would not be OK.|How much time does it take for an employee to work on a side business with his or her day job?|a few hours a week|516|535
15|15|An occasional side gig, free or paid, for someone you know. For example, if you want to work on a friends website, or a design or writing project for something youre involved with, thats fine. An occasional speaking gig, free or paid. Someones going to pay you to give a talk somewhere? Thats fine as long as it doesnt involve multiple days off for travel (unless you use your own personal vacation time against this travel time). A side business thats different from your day job, as long as the commitment is only a few hours a week. If you come to work exhausted because youre trying to start a full-time business on the side, its going to impact your performance here. Serve as an advisor for another company, or be on a board, as long as theres no conflict of interest. The time commitment must be under a few hours a month. And if theres a scheduling conflict, 37signals gets priority. Do volunteer or occasional pro-bono work for a cause youre actively involved with. A little work here and there is fine, but, for example, becoming an organizations full-time web designer and being on the hook to work during your standard work day, etc, would not be OK.|What site gets priority when there is a scheduling conflict?|37signals|867|876
16|17|You cant work full time or part time for another company in our industry. If youre unclear about what our industry is, and you have a specific situation youd like to talk about, ping Jason or David. Go out on a regular speaking circuit tour which is going to require multiple days of travel multiple times a year. Thats too disruptive to our own work schedule and to your fellow teammates. Consult for other companies in our industry where there may be a conflict of interest (a competitor, a product tangentially related to 37signals, etc). Be aggressive in marketing your availability for side work. If something comes to you through a friend or some connection, fine, but aggressively promoting something on the side will ultimately result in a conflict of interest here at work. Take on anything outside of work thatll pull attention from work. For example, if you wanted to launch an app, but the app requires providing timely customer support to people who use the app, thats going to eat into your day here at work. That would ultimately be a problem.|What kind of tour will take a lot of time?|speaking circuit tour|219|240
17|19|Is it competitive? Does it occupy a disproportionate amount of your time? Does it require you to be away during times when youre needed at work? Is it another paid gig that employs the same skills 37signals is paying you for?|what is the name of the company that pays you to do what?|37signals|197|206
18|20|In general, wed like to be lenient within reason, but were going to be strict if we see it impact your time, attention, or performance here at work.|How do you like to be?|lenient within reason|27|49
19|20|In general, wed like to be lenient within reason, but were going to be strict if we see it impact your time, attention, or performance here at work.|How do you decide to be strict on a policy?|if we see it impact your time, attention, or performance here at work|78|148
20|23|So, this is where well try to share whats worth knowing about 37signals the company, our culture, our process, and our history. Its a guide to understanding what people are talking about when they call for judo (redefining a hard problem into an easy one) or whether its okay to take your vacation when youve only been with us for a month (yes).|what is the name of the company that is mentioned|37signals|62|71
21|24|This handbook also offers us an opportunity to clarify who we actually are as a company. What do we stand for? How should we work? Codifying those beliefs into a handbook makes them tangible and, most importantly, editable. Making the company our best product is a guiding principle, but we cant easily improve what we havent articulated. So whatever version of this handbook youre reading, you can be sure its not the last. Please do help keep it up to date! And by up to date, were not just talking about misspellings and team changes. Its just as much we say were about X, but what were really doing is Y. So many of these employee handbook projects turn out to be ideal-case prescriptions rather than real-world descriptions. They cover all the ways people should act, not the ways they actually do. Thats a sham. Lets not write a handbook like that. Lets keep it honest.|How do these handbook projects end up being?|ideal-case prescriptions rather than real-world descriptions|668|729
22|25|If youre reading this just after joining the company, its particularly on you, actually. Its harder for us slowly-boiled frogs whove been with 37signals for a while to spot the broken ways. Please take advantage of that glorious, shiny ignorance of being new, and question things.|How do you find broken ways in the world of software?|Its harder|89|99
23|25|If youre reading this just after joining the company, its particularly on you, actually. Its harder for us slowly-boiled frogs whove been with 37signals for a while to spot the broken ways. Please take advantage of that glorious, shiny ignorance of being new, and question things.|what do you do when you join a company?|question things|264|280
24|26|Our Internal Systems Besides the customer-facing applications, like the different versions of Basecamp, we have a number of internal systems that help us support, report, and operate the company. They are as follows: Dash|How do our internal systems help the company?|support, report, and operate|154|182
25|27|Dash is the main hub for everything that has to do with logging (like finding why a request is slow or whether an email has been delivered), reporting (everything from number of support cases handled to split of devices used to access Basecamp), application health (response times, job queue exceptions etc).|What is the main hub for everything that has to do with logging?|Dash|0|4
26|28|dash.37signals.comQueenbee Queenbee is our invoice, accounting, and identity system. Here you can look up any customer account, see whether they are comped, refund an invoice, or even login as a customer.|What is the queenbee?|invoice, accounting, and identity system|43|84
27|29|Thats an immense amount of power and we take its use very seriously. We only ever login as a customer after having been given explicit permission to do so, never preemptively. Our customers expect that their information is confidential, even from us, and we intend to honor that expectation at all times.|How long do we have to login as a customer?|after having been given explicit permission to do so, never preemptively|102|175
28|29|Thats an immense amount of power and we take its use very seriously. We only ever login as a customer after having been given explicit permission to do so, never preemptively. Our customers expect that their information is confidential, even from us, and we intend to honor that expectation at all times.|How do you login as a customer?|after having been given explicit permission to do so, never preemptively|102|175
29|31|This is perhaps less of a system and more of an interface to all our other systems. The 37 command gives easy access to the production consoles for all the applications, which is often needed when diagnosing or fixing custom issues. It also allows you to directly grep and tail log files for live debugging, amongst other things.|How many command does the console have?|37|88|90
30|32|We track programming exceptions on Sentry. When a customer hits a Oops, something went wrong! screen, that means therell be an entry in Sentry explaining to programmers why they saw that screen. Keeping the exceptions under control and monitored is primarily the responsibility of SIP and Jim via on-call.|What is the name of the program that tracks programming exceptions?|Sentry|35|42
31|33|We track programming exceptions on Sentry. When a customer hits a Oops, something went wrong! screen, that means therell be an entry in Sentry explaining to programmers why they saw that screen. Keeping the exceptions under control and monitored is primarily the responsibility of SIP and Jim via on-call.|What is the primary person responsible for keeping exceptions under control?|SIP and Jim|281|292
32|34|getsentry.comCustomer.IO All drip campaigns, welcome emails, and other email marketing campaigns for 37signals are run through Customer.IO. This allows the marketing team to independently tweak and measure the campaigns. customer.io Shipshape|What platform are 37signals email marketing campaigns run through?|Customer.IO|127|139
33|34|getsentry.comCustomer.IO All drip campaigns, welcome emails, and other email marketing campaigns for 37signals are run through Customer.IO. This allows the marketing team to independently tweak and measure the campaigns. customer.io Shipshape|How does the marketing team benefit from the Customer.IO service?|allows the marketing team to independently tweak and measure the campaigns|145|220
34|35|Shipshape is how we make sure our work computers are up to our strict security protocol. When youre given access to the companys GitHub account, you can run Shipshape to be sure youre up to code. Shipshape will also test your machine periodically to let you know (and our SIP team know) if your machine springs a leak and needs bailing out.|What is the name of the program that lets you make sure you meet our security protocol?|Shipshape|0|9
35|35|Shipshape is how we make sure our work computers are up to our strict security protocol. When youre given access to the companys GitHub account, you can run Shipshape to be sure youre up to code. Shipshape will also test your machine periodically to let you know (and our SIP team know) if your machine springs a leak and needs bailing out.|What is the name of the program that lets you make sure you meet our security protocol?|Shipshape|0|9
36|36|Vocabulary 37signals has over time developed a vocabulary specific to our work and company. Chowder When establishing the tasks under a project, there are must-haves and maybes. Chowder is a shorthand we use to refer to the maybes. Judo|What has developed a vocabulary specific to our work and company?|Vocabulary 37signals|0|20
37|37|Most problems can be solved in a thousand different ways. One way might take 100 hours, another might take 10. Judo is the art of problem restatement. Turning that massive, scary 3-month looking problem into one that can be done in 3 weeks instead. Its often used when we get frustrated trying to solve something hard and we arent making sufficient progress: Lets figure out a way to judo this!.|What is the average amount of time that a solution to a problem might take?|10|107|110
38|38|PDIPlease do investigate. Seen most often on to-do lists in Basecamp to indicate uncertainty. It helps everyone on the project understand that were going to look into it but it may or may not be feasible, practical, or possible.|In what software does it often appear on a to-do list?|Basecamp|60|68
39|38|PDIPlease do investigate. Seen most often on to-do lists in Basecamp to indicate uncertainty. It helps everyone on the project understand that were going to look into it but it may or may not be feasible, practical, or possible.|What does the acronym PDIPlease do on a to-do list?|investigate|13|25
40|39|Its a rare case when our initial aspirations for a feature dont meet the boundaries of our cycle budgets. When that happens, our go-to tool for shipping is scope hammering. This basically just means shrinking the scope, removing features or configuration or fidelity, until the work is doable within the time left. Its the opposite tactic to working longer days or weekends or to postpone the project into another cycle. Almost every project can be scope hammered, especially if you invite someone in to assist with the analysis who isnt afraid to kill other peoples darlings. Youll get better at doing that yourself after a few rounds too.|what is our go-to tool for shipping?|scope hammering|156|172
41|40|Its a rare case when our initial aspirations for a feature dont meet the boundaries of our cycle budgets. When that happens, our go-to tool for shipping is scope hammering. This basically just means shrinking the scope, removing features or configuration or fidelity, until the work is doable within the time left. Its the opposite tactic to working longer days or weekends or to postpone the project into another cycle. Almost every project can be scope hammered, especially if you invite someone in to assist with the analysis who isnt afraid to kill other peoples darlings. Youll get better at doing that yourself after a few rounds too.|How does scope hammering work?|shrinking the scope, removing features or configuration or fidelity|199|267
42|41|Titles for Programmers We use the following criteria to assess the level and title of programmers of Basecamp. These criteria arent exhaustive, and they arent mere checklists. Theyre a guidance to having an individualized discussion about career progression.|How are the criteria a guidance for?|having an individualized discussion about career progression|197|258
43|42|It should also be noted that these criteria chiefly examine the scope of work someone is capable of tackling independently. In addition to that assessment, we also look at the quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|How do these criteria measure performance?|examine the scope of work someone is capable of tackling independently|52|123
44|42|It should also be noted that these criteria chiefly examine the scope of work someone is capable of tackling independently. In addition to that assessment, we also look at the quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|What is the basis of Basecamp's pay in the top 10% of the industry?|San Francisco rates|264|285
45|44|Work is thoroughly reviewed with substantial backnforth frequently needed before merging. Basic language features are mastered, but some advanced structures may still be unfamiliar. Occasional issues following patterns and approaches within existing code bases. Works primarily on tightly scoped, routine problems. Usually less than 2 years of experience being a professional programmer in the specific domain.|What is the typical experience of a professional programmer?|less than 2 years|323|340
46|45|Work is reviewed with the occasional need for material direction or implementation changes. Follows established patterns and approaches within existing code bases with ease. Works mostly on clearly defined and scoped individual features or problems. Usually at least 2-5 years of experience being a professional programmer in the specific domain.|How does Work usually work?|clearly defined and scoped individual features or problems|190|249
47|46|Work is reviewed with the occasional need for material direction or implementation changes. Follows established patterns and approaches within existing code bases with ease. Works mostly on clearly defined and scoped individual features or problems. Usually at least 2-5 years of experience being a professional programmer in the specific domain.|What is the typical experience of a professional programmer?|2-5 years of experience|267|290
48|48|Work doesnt necessarily need to be reviewed, but general approach may be. Fully capable of taking substantial features from concept to shipping as the sole programmer (alongside a designer). Can provide material feedback on the work of junior programmers and programmers. Deep expertise within at least one programming environment. Basic proficiency in at least one additional programming environment. Usually at least 5-8 years of experience being a professional programmer in the specific domain.|What is the typical experience of a professional programmer?|at least 5-8 years of experience|410|442
49|49|Work happens completely autonomously with no regular need for review. Fully capable of owning and running entire subsystems of work (Queenbee expert, Action Cable implementation). Helps set and maintain professional standards for the entire organization. Deep, substantial expertise in multiple programming environments. Capable of running and directing small teams for substantial projects. Capable of executing projects across multiple domains (say, native app that needs API backend). Usually at least 8-12 years of experience being a professional programmer in the specific domain.|What is the name of an example of a work system?|Queenbee expert, Action Cable|133|162
50|50|Work happens completely autonomously with no regular need for review. Fully capable of owning and running entire subsystems of work (Queenbee expert, Action Cable implementation). Helps set and maintain professional standards for the entire organization. Deep, substantial expertise in multiple programming environments. Capable of running and directing small teams for substantial projects. Capable of executing projects across multiple domains (say, native app that needs API backend). Usually at least 8-12 years of experience being a professional programmer in the specific domain.|What is the typical experience of a professional programmer?|8-12 years|505|515
51|51|Can set and direct an entire department, like SIP, Core Product, or Research & Fidelity. Fully capable of designing, owning, and running entirely new, novel systems (design billing systems, Trix, Active Record from scratch) Capable of running and directing larger teams for large, long-running projects. Recognized widely in the industry for material contributions to the state of the art. Invents new concepts, pushes the whole organization forward regularly. Usually at least 12-15+ years of experience being a professional programmer in the specific domain.|What is the industry recognized widely for?|material contributions to the state of the art|342|389
52|52|Can set and direct an entire department, like SIP, Core Product, or Research & Fidelity. Fully capable of designing, owning, and running entirely new, novel systems (design billing systems, Trix, Active Record from scratch) Capable of running and directing larger teams for large, long-running projects. Recognized widely in the industry for material contributions to the state of the art. Invents new concepts, pushes the whole organization forward regularly. Usually at least 12-15+ years of experience being a professional programmer in the specific domain.|What is the typical experience of a professional programmer?|12-15+ years|478|490
53|53|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not usually initiate PIPs for fundamental performance issues that relate to your core job skills.|What does PIP stand for?|Performance Improvement Plan|74|102
54|54|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not usually initiate PIPs for fundamental performance issues that relate to your core job skills.|How do you know if an issue is a PIP?|if your managers concern is correctable in the short term|132|190
55|56|Your manager will identify a productivity or disciplinary problem as soon as possible after it occurs if its a specific incident, or as soon as they can when they sense a general problem with your ongoing performance. Your formal reviews may be helpful in identifying a problem, but managers shouldnt wait for those reviews to raise a problem with you.|How should managers respond to formal reviews?|shouldnt wait for those reviews to raise a problem with you|292|352
56|57|Your manager will have a conversation with you about:the specific problem the steps required for you to correct the timeline for correction Revisit Throughout Timeline & On Deadline|How will the manager help you?|Your manager will have a conversation with you about:the specific problem|0|73
57|58|Your timeline for taking steps to correct your performance is at the discretion of your manager. During that timeframe, you and your manager will check in periodically about whether or not theyre seeing the improvement theyve asked to see.|what is the person who gives you your timeline for improvement?|your manager|83|96
58|58|Your timeline for taking steps to correct your performance is at the discretion of your manager. During that timeframe, you and your manager will check in periodically about whether or not theyre seeing the improvement theyve asked to see.|what does the manager of an employee want to see|improvement|207|218
59|59|When you come to the end of your PIP timeline, you and your manager will have a formal check-in. If your performance is back where it should be, thats the end of this process.|What is the final step of a PIP timeline?|a formal check-in|78|96
60|60|If your performance is not where it should be, your manager will outline next steps. If they feel youre putting forth good effort and could use more time to show improvement, they may extend the timeline of the PIP. If your manager feels your performance has not improved at all and you havent met the requirements outlined in your PIP, they may decide to terminate your employment with 37signals.|How will your manager outline if your performance is not where it should be?|next steps|73|84
61|60|If your performance is not where it should be, your manager will outline next steps. If they feel youre putting forth good effort and could use more time to show improvement, they may extend the timeline of the PIP. If your manager feels your performance has not improved at all and you havent met the requirements outlined in your PIP, they may decide to terminate your employment with 37signals.|What will your manager do if your performance is not what it should be?|outline next steps|65|84
62|61|If you are terminated, youll be offered a severance package that includes 2 weeks of pay for every 6 months of employment, with a max 6 months severance pay (for 6 years+ of employment). The package also includes health insurance for you and your dependents if youve been on our policies for the same time periods, compensation for unused vacation time, and compensation for unused sabbatical time if applicable (1 year look back). In return, youll be asked for a general release of liabilities and other standard employment termination terms. When you begin looking for work, your manager and the company may provide references, if desired.|What is the severance package for terminations?|2 weeks of pay for every 6 months of employment|74|122
63|61|If you are terminated, youll be offered a severance package that includes 2 weeks of pay for every 6 months of employment, with a max 6 months severance pay (for 6 years+ of employment). The package also includes health insurance for you and your dependents if youve been on our policies for the same time periods, compensation for unused vacation time, and compensation for unused sabbatical time if applicable (1 year look back). In return, youll be asked for a general release of liabilities and other standard employment termination terms. When you begin looking for work, your manager and the company may provide references, if desired.|What does the severance package include?|2 weeks of pay for every 6 months of employment|74|122
64|63|Your manager will offer extra support during the PIP process. We know lots of external factors can come into play at work. If youre having personal or professional issues that are harming your performance, please tell your manager so they can work with you.|How do you talk to your manager about personal or professional issues?|please tell your manager so they can work with you|206|257
65|63|Your manager will offer extra support during the PIP process. We know lots of external factors can come into play at work. If youre having personal or professional issues that are harming your performance, please tell your manager so they can work with you.|How can you talk to your manager about your issues?|please tell your manager so they can work with you|206|257
66|64|Lots of employees who still work at 37signals have been on PIPs. Were not in the game of high turnover. We want to see you through the process and see you come out energized on the other side. We care about everyone who works here and if youre having performance issues, our first reaction is to help you. We only ask that you work with us to devise a realistic improvement plan that elevates you and works for 37signals.|What are lot of employees at 37signals still working on?|PIPs|59|64
67|64|Lots of employees who still work at 37signals have been on PIPs. Were not in the game of high turnover. We want to see you through the process and see you come out energized on the other side. We care about everyone who works here and if youre having performance issues, our first reaction is to help you. We only ask that you work with us to devise a realistic improvement plan that elevates you and works for 37signals.|What company are they still working for?|37signals|36|45
68|66|The process outlined above is for employees who are dealing with manageable performance or disciplinary issues. If an employee is negligent in their duties or commits fraud or insubordination to the point that a performance plan wont serve 37signals or the employee, we retain the right to immediately terminate at-will as stated in our employment contracts. 37signals also retains the right to bypass steps outlined above, including offering a severance package, if the severity of performance problems warrants that. In either of these cases, the reasoning will be spelled out in detail to the employee prior to termination.|How will the employee be informed of the reasons for their termination?|in detail|579|588
69|69|Thats what we mean when we say marketing is everyones responsibility, and that it pays to spend the time to recognize that. This means avoiding the bullshit of outage language and bending our policies, not just lending your ears. It means taking the time to get the writing right and consider how youd feel if you were on the other side of the interaction.|"What does the phrase ""Marketing is everyone's responsibility"" mean?"|avoiding the bullshit of outage language and bending our policies|135|201
70|69|Thats what we mean when we say marketing is everyones responsibility, and that it pays to spend the time to recognize that. This means avoiding the bullshit of outage language and bending our policies, not just lending your ears. It means taking the time to get the writing right and consider how youd feel if you were on the other side of the interaction.|How do you avoid the bullshit of outage language?|bending our policies|180|201
71|70|The vast majority of our customers come from word of mouth and much of that word comes from people in our audience. This is an audience weve been educating and entertaining for 20 years and counting, and your voice is part of us now, whether you like it or not! Tell us and our audience what you have to say!|what do our customers come from?|word of mouth|45|58
72|70|The vast majority of our customers come from word of mouth and much of that word comes from people in our audience. This is an audience weve been educating and entertaining for 20 years and counting, and your voice is part of us now, whether you like it or not! Tell us and our audience what you have to say!|what years have we been entertaining and educating our audience|20 years and counting|177|199
73|71|This goes for tools and techniques as much as it goes for prose. 37signals not only tries to out-teach the competition, but also out-share and out-collaborate. Were prolific open source contributors through Ruby on Rails, Trix, Turbolinks, Stimulus, and many other projects. Extracting the common infrastructure that others could use as well is satisfying, important work, and we should continue to do that.|How does 37signals collaborate with other developers?|out-share and out-collaborate|129|159
74|71|This goes for tools and techniques as much as it goes for prose. 37signals not only tries to out-teach the competition, but also out-share and out-collaborate. Were prolific open source contributors through Ruby on Rails, Trix, Turbolinks, Stimulus, and many other projects. Extracting the common infrastructure that others could use as well is satisfying, important work, and we should continue to do that.|How were prolific contributors to 37signals?|Ruby on Rails|207|221
75|72|Its also worth mentioning that joining 37signals can be all-consuming. Weve seen it happen. You dig 37signals, so you feel pressure to contribute, maybe overwhelmingly so. The people who work here are some of the best and brightest in our industry, so the self-imposed burden to be exceptional is real. But heres the thing: stop it. Settle in. Were glad you love this job because we all do too, but at the end of the day its a job. Do your best work, collaborate with your team, write, read, learn, and then turn off your computer and play with your dog. Well all be better for it.|What is it worth joining?|37signals can be all-consuming|39|70
76|73|Basecamp. On our website, we say Basecamp is a private, secure space online where people working together can organize and discuss everything they need to get a project done. See it, track it, discuss it, act on it. Tasks, discussions, deadlines, and files everythings predictably organized in Basecamp. But we want it to be more than that. In mid-2016, we decided to focus on helping small business owners manage their businesses and help alleviate growth and organizational pains theyre facing. Project management was our bread and butter for over 15 years. But we were inspired by how we, internally, have used Basecamp to run 37signals, and we want to extend that philosophy to our current customers and scores of brand-new customers.|What is the name of the private, secure space online where people working together can organize and discuss everything they need to get a project done?|Basecamp|33|41
77|74|Basecamp. On our website, we say Basecamp is a private, secure space online where people working together can organize and discuss everything they need to get a project done. See it, track it, discuss it, act on it. Tasks, discussions, deadlines, and files everythings predictably organized in Basecamp. But we want it to be more than that. In mid-2016, we decided to focus on helping small business owners manage their businesses and help alleviate growth and organizational pains theyre facing. Project management was our bread and butter for over 15 years. But we were inspired by how we, internally, have used Basecamp to run 37signals, and we want to extend that philosophy to our current customers and scores of brand-new customers.|What was our bread and butter for over 15 years?|Project management|497|515
78|75|But lets take a look back. In 2003, 37signals was a web design firm made up of 4 people. We always had work, but we were disorganized. With so many concurrent projects, things began to slip through the cracks. Projects dragged on too long. We dropped the ball on key deliverables. We had some major miscommunication. As many people even still do, we relied on email for everything. Things inevitably got lost, people get left out of conversations, theres nowhere to go to see whats left to do.|How many people did 37signals have in 2003?|4|79|80
79|75|But lets take a look back. In 2003, 37signals was a web design firm made up of 4 people. We always had work, but we were disorganized. With so many concurrent projects, things began to slip through the cracks. Projects dragged on too long. We dropped the ball on key deliverables. We had some major miscommunication. As many people even still do, we relied on email for everything. Things inevitably got lost, people get left out of conversations, theres nowhere to go to see whats left to do.|What were the people of 37signals using for everything?|email|360|365
80|76|So we started looking for a project management tool. We tried a few tools, but they were complicated and didnt fit what we needed. Frustrated, we decided to build our own simple project management app. A few months later we had something ready, and we immediately started using this tool with our existing clients.|What did we decide to build?|our own simple project management app|163|201
81|76|So we started looking for a project management tool. We tried a few tools, but they were complicated and didnt fit what we needed. Frustrated, we decided to build our own simple project management app. A few months later we had something ready, and we immediately started using this tool with our existing clients.|What did we build?|project management app|178|201
82|77|Lo and behold, our projects ran better! We regained the sense of order and calmness wed been craving. And clients noticed they really appreciated the improved communication and organization. Soon after, our clients started asking us what software we were using to run these projects. Turns out they wanted to use it for their own in-house projects! So, we polished it up and put it on the market. On February 5th, 2004, Basecamp was born, and within a year, Basecamp was generating more income for us than our web design business, so we shuttered the web design firm to focus solely on Basecamp. That original Basecamp is called Basecamp Classic, and it still retains quite a few loyal customers! In 2012, we released our second version of Basecamp, referred to as BCX.|What is the original name of Basecamp?|Basecamp Classic|629|646
83|77|Lo and behold, our projects ran better! We regained the sense of order and calmness wed been craving. And clients noticed they really appreciated the improved communication and organization. Soon after, our clients started asking us what software we were using to run these projects. Turns out they wanted to use it for their own in-house projects! So, we polished it up and put it on the market. On February 5th, 2004, Basecamp was born, and within a year, Basecamp was generating more income for us than our web design business, so we shuttered the web design firm to focus solely on Basecamp. That original Basecamp is called Basecamp Classic, and it still retains quite a few loyal customers! In 2012, we released our second version of Basecamp, referred to as BCX.|What is the second version of Basecamp called?|BCX|765|769
84|78|Fast forward to 2014. Wed been feeling pulled in too many directions for too long. Campfire, Highrise, Backpack, and a host of other products were taking away from what we really wanted to do: maintain and improve Basecamp. So we spun off, sold, or otherwise sunset our ancillary products, and dedicated the entire companys efforts to Basecamp. In 2015 we launched our third version of Basecamp, BC3, and in 2022, we launched Basecamp 4.|In what year did Basecamp 4 launch?|2022|408|413
85|80|HEY is our love letter to email. While our internal communications are almost exclusively in Basecamp (with code reviews in GitHub the primary exception), we still correspond with some external service providers and customers via email. Every time we needed to do that, we felt the drag: how much harder it was to manage and stay on top of email. So we eventually decided to do something about it. After over two years of work, we launched HEY in June 2020.|What month and year did we launch the Hey letter?|June 2020|447|457
86|81|In 2014, we decided to spin off or sell our other (very successful!) applications. One of those was Highrise, our customer relationship management (CRM) tool. Highrise became a subsidiary of 37signals run by its own board, executive, and staff. In 2018, we took back control of Highrise, disbanded the separate company, and turned off new signups. Highrise is now, as Basecamp Classic, Basecamp 2, Backpack, and Campfire, part of our until-the-end-of-the-internet legacy. Maintained for existing customers, but no longer developed for new features or new customers.|Who was our CRM tool?|Highrise|100|109
87|83|Ten years ago, to-do list apps were few and far between. So, we created Ta-da List as a stand alone free subscription app at tadalist.com in January 2005. Now that people have to-do lists on their phones, desktops, laptops, tablets, and refrigerator doors, we recognized that Ta-da List was a little outdated. We closed new signups to tadalist.com in 2012, but existing customers were able to retain their accounts.|What app was created in 2005?|Ta-da List|72|82
