|context_id|context|question|answer
10|8|Backpack. We created Backpack in May 2005 as a supplement to Basecamp Classic. Backpack existed as an organizer: a place to keep lifes loose ends together. Users could make lists, notes, add files, upload pictures, and create Writeboards to share with other users. When we restructured in 2014, we closed Backpack to new customers, but existing customers still use (and love!) Backpack.|When did Backpack cease to exist?| 2014
11|9|Writeboard. A tool called Writeboards lives in Basecamp Classic and Backpack. A Writeboard functions as a very simple, minimally formattable text document. In October 2005, we launched Writeboards.com, so people who wanted to use the tool without a Basecamp or Backpack subscription could do so. We retired Writeboards.com in 2014, but they still work in existing Basecamp Classic and Backpack accounts.|Writeboards works as a very simple, minimally formable text document.| simple, minimally formattable text document
12|9|Writeboard. A tool called Writeboards lives in Basecamp Classic and Backpack. A Writeboard functions as a very simple, minimally formattable text document. In October 2005, we launched Writeboards.com, so people who wanted to use the tool without a Basecamp or Backpack subscription could do so. We retired Writeboards.com in 2014, but they still work in existing Basecamp Classic and Backpack accounts.|In what year did we retire Writeboards.com?| 2014
13|10|Campfire. In 2006, we built Campfire to help businesses communicate better. Its a simple, real-time web-based group chat tool that lets people set up password-protected chat rooms super quickly. At the very beginning, it didnt integrate with Basecamp, but when it did, it took off. Signups for Campfire were closed in February 2017.|In what year did we build Campfire?| 2006
14|10|Campfire. In 2006, we built Campfire to help businesses communicate better. Its a simple, real-time web-based group chat tool that lets people set up password-protected chat rooms super quickly. At the very beginning, it didnt integrate with Basecamp, but when it did, it took off. Signups for Campfire were closed in February 2017.|Signups for Campfire were closed in February of what month?| February 2017
15|11|37signals Suite. The 37signals Suite was a bundle of Basecamp Classic, Highrise, Backpack, and Campfire that allowed businesses to get big savings across the apps, simplify billing, and unify users across the apps. We retired the 37signals Suite offering after BCX was launched. Breeze. In 2012, we launched Echo, which turned into Breeze, a mailing list tool for small groups. We were excited about it, tried for a year to build up the product and bring in customers, but the product didnt take off like we hoped it would. Only about 1,200 customers signed up in that year, so rather than watch it limp along, we closed it down in August 2013.|What was the number of people signed up for Echo?| 1,200
16|11|37signals Suite. The 37signals Suite was a bundle of Basecamp Classic, Highrise, Backpack, and Campfire that allowed businesses to get big savings across the apps, simplify billing, and unify users across the apps. We retired the 37signals Suite offering after BCX was launched. Breeze. In 2012, we launched Echo, which turned into Breeze, a mailing list tool for small groups. We were excited about it, tried for a year to build up the product and bring in customers, but the product didnt take off like we hoped it would. Only about 1,200 customers signed up in that year, so rather than watch it limp along, we closed it down in August 2013.|When did the Echo cease to exist?| August 2013
17|12|Unlike our other retired products, we refunded our customers money and closed the product entirely so not even existing customers could retain their subscription. We directed them to other small scale mailing list alternatives and apologized for the hiccup. WeWorkRemotely.com. 37signals has run a job board since 2006, helping connect small businesses with good designers and programmers for full-time jobs, freelance gigs, and internships.|Since 2006, what has been a job board for 38signals?| 37signals
18|13|In 2014, 37signals revamped our job board and launched We Work Remotely. After Jason and David published their book REMOTE, we realized we wanted to be on the forefront of promoting remote work. So, we created and hosted WeWorkRemotely.com, which contains job postings for programmers, designers, marketing professionals, customer service representatives, writers, and more all remote work positions. We posted thousands of jobs over the years we ran WWR. In spring 2017, we sold We Work Remotely to Metalab, to cut down on manual labor taken to run the board and focus more on our core business.|What company did we sell We Work Remotely to?| Metalab
19|14|Sortfolio.com. In 2009, 37signals launched Sortfolio (previously named Haystack) to help clients find the right web designer in a more efficient way. Clients are able to filter by city and typical budget range and then peruse the results in a more visual way. We ended up selling Sortfolio in 2013 to be able to focus more on Basecamp and allow another company to give Sortfolio the love and attention it deserves.|In 2009, what company launched a website called Sortfolio?| 37signals
20|14|Sortfolio.com. In 2009, 37signals launched Sortfolio (previously named Haystack) to help clients find the right web designer in a more efficient way. Clients are able to filter by city and typical budget range and then peruse the results in a more visual way. We ended up selling Sortfolio in 2013 to be able to focus more on Basecamp and allow another company to give Sortfolio the love and attention it deserves.|In what year did Sortfolio end up selling?| 2013
21|15|Know Your Team (formerly Know Your Company). In 2013, 37signals created a software tool that allows managers to ask questions to gain insight into what their employees think about work, the culture, the direction of the company, what people are working on, or even something personal like their favorite recent movie. We created Know Your Team because when the 37signals team grew to about 30 people, Jason realized he didnt know the company or its people as well as he should have. So, Know Your Team was created initially as an internal tool that eventually became a product that we sold to customers. In 2014, we sold Know Your Team to Claire Lew, and shes been running it ever since!|What is the name of the founder of Know Your Team?| Claire Lew
22|17|Junior Site Reliability Engineer. Discussion about tasks and how to complete them prior to starting work is required. Basic familiarity with networking, configuration management, containers, orchestration, and other major systems, and with common processes and procedures. Mostly carries out low-risk, isolated system maintenance tasks; passively participates in emergency problem resolution. Many questions to more senior team members.|What is the job title of a junior site reliability engineer?|Junior Site Reliability Engineer
23|17|Junior Site Reliability Engineer. Discussion about tasks and how to complete them prior to starting work is required. Basic familiarity with networking, configuration management, containers, orchestration, and other major systems, and with common processes and procedures. Mostly carries out low-risk, isolated system maintenance tasks; passively participates in emergency problem resolution. Many questions to more senior team members.|Some questions to more senior team members.| isolated system maintenance tasks
24|18|Does not participate in on-call rotation. Self taught; may have worked at IT Help Desk for 1-2 years. Site Reliability Engineer. Work is reviewed with the occasional need for material direction or implementation changes. Works on single system / variable problems. Can handle on call with the backing of a more senior team member.|Does not participate in on-call rotation.| 1-2 years
25|18|Does not participate in on-call rotation. Self taught; may have worked at IT Help Desk for 1-2 years. Site Reliability Engineer. Work is reviewed with the occasional need for material direction or implementation changes. Works on single system / variable problems. Can handle on call with the backing of a more senior team member.|Work is reviewed with the occasional need for material direction or implementation changes. Works on single system / variable problems. Can handle on call with the backing of a more senior team member.| Site Reliability Engineer
26|19|Can perform work on production systems by following existing procedures. Shows strength in some areas of specialization, but lacks the balance of experience in all areas. Lacks institutional knowledge about our systems. Not completely familiar with documentation or procedures. Usually at least 5 years of experience as sysadmin or programmer with site reliability experience.|Do people who have experience with site reliability experience have to be completely familiar with site reliability?| least
27|20|. Senior Site Reliability Engineer. Work doesnt necessarily need to be reviewed, but general approach may be. Can work independently on smaller projects and be a reliable contributor to larger projects. Fully participates in on call rotation. Subject matter expert in at least one major system. Plans and performs lower risk maintenance independently. Participates in higher risk maintenances.|Work does not need to be reviewed but general approach may be. Can work independently on smaller projects and be a reliable contributor to larger projects. Can work independently on smaller projects and be a reliable contributor to larger projects?| Senior Site Reliability Engineer
28|21|Contributes to resolving major problems. Improves existing professional standards for the team. Usually at least 6-10 years of experience being a professional sysadmin or network engineer; typically 5 years experience at Basecamp internalizing how we work. Lead Site Reliability Engineer. Able to fill in and lead team for short periods. Work happens completely autonomously with no regular need for review.|Lead Site Reliability Engineer experience is typically 5-10 years of experience working with Basecamp internalizing how we work?| 6-10 years
29|21|Contributes to resolving major problems. Improves existing professional standards for the team. Usually at least 6-10 years of experience being a professional sysadmin or network engineer; typically 5 years experience at Basecamp internalizing how we work. Lead Site Reliability Engineer. Able to fill in and lead team for short periods. Work happens completely autonomously with no regular need for review.|Lead Site Reliability Engineer experience is typically 5-10 years of experience working with Basecamp internalizing how we work.| 5 years
30|22|Expert on multiple systems. Helps make strategic decisions around major components. Elevates the standards through new tooling, processes, procedures and effective communication. Able to carry out research, testing, implementation and improvement for new systems. Leads high risk maintenance with limited to no customer impact. Significant technical contributor to problem resolution; demonstrates consistent maturity in communication and demeanor under stress.|"Helps make strategic decisions around major components. Helps make strategic decisions around major components. Elevates the standards through new tooling, processes, procedures and effective communication.

What does the Expert help do?"| systems
31|23|Performs more complex work like capacity planning, load testing, security improvements, etc. Sets new professional standards for the team. Usually at least 8-12 years of experience being a professional sysadmin. Principal Site Reliability Engineer. Can run large and complex Ops projects independently. Carries significant responsibility for many domains of infrastructure. Multiple areas of expertise: configuration management, containers, continuous integration / development, debugging, orchestration, optimization, networking, performance, reliability, security.|How long does it take to be a principal site reliability engineer?| 8-12 years
32|23|Performs more complex work like capacity planning, load testing, security improvements, etc. Sets new professional standards for the team. Usually at least 8-12 years of experience being a professional sysadmin. Principal Site Reliability Engineer. Can run large and complex Ops projects independently. Carries significant responsibility for many domains of infrastructure. Multiple areas of expertise: configuration management, containers, continuous integration / development, debugging, orchestration, optimization, networking, performance, reliability, security.|Can run large and complex Ops projects independently. Can carry significant responsibility for many domains of infrastructure. Multiple areas of expertise: configuration management, containers, continuous integration / development, debugging, orchestration, optimization, networking, performance, reliability, security. Per| Principal Site Reliability Engineer
33|24|Capable of coordinating company wide response to major issues and leading problem resolution via emergency procedures. Usually 12-15 years of experience being a professional sysadmin.|How long are experience with Microsoft for sysadmin?| 12-15 years
34|26|New York. If youre an eligible secondary caregiver in the state of New York, you may be able to take up to 10 weeks leave. Washington. This is a voluntary plan fully funded by 37signals. Employees will not be taxed for this plan. This plan is effective April 1, 2019, and in effect for no less than a year and continuously thereafter.|Employees will not be taxed for this plan if they are employed in Washington state.| 37signals
35|28|Current and future employees of 37signals LLC are eligible for this policy. The definition of Family member can be found in the WA state law RCW 50A.04.010. New child is defined as a new birth, adoption, or fostered minor. A Primary Caregiver is the person who provides the child with the majority of their care during Parental Leave. A|A person who provides the child with the majority of their care during Parental Leave is called the person who provides the child with the majority of their care during Parental Leave?| Primary Caregiver
36|29|Secondary Caregiver is a parent who is accompanied by the presence of the Primary Caregiver. In practice, one example of this policy would be one parent home full-time with a new child as a Primary Caregiver and the other parent home part-time as a Secondary Caregiver. If 70% of your pay is lower than what Washington State would pay under the state requirement, we will supplement to meet that requirement.|A secondary caregiver is a parent who is accompanied by a parent who is accompanied by the presence of the parent who is the primary caregiver?|Secondary Caregiver
37|29|Secondary Caregiver is a parent who is accompanied by the presence of the Primary Caregiver. In practice, one example of this policy would be one parent home full-time with a new child as a Primary Caregiver and the other parent home part-time as a Secondary Caregiver. If 70% of your pay is lower than what Washington State would pay under the state requirement, we will supplement to meet that requirement.|Secondary caregiver is a parent who is accompanied by a parent who is accompanied by the presence of the parent who is the primary caregiver?| a parent who is accompanied by the presence of the Primary Caregiver
38|30|All durations allowed in this policy are on a 52 consecutive week period. Benefits are allowed per event and do not have a total annual cap. For example, one medical event in March would not reduce the benefit for a medical event in October provided they are unrelated and occurred separately.|All benefits are allowed on a month-by-month basis.| 52 consecutive week period
39|30|All durations allowed in this policy are on a 52 consecutive week period. Benefits are allowed per event and do not have a total annual cap. For example, one medical event in March would not reduce the benefit for a medical event in October provided they are unrelated and occurred separately.|For each week of benefit, a doctor must approve a request for a new benefit.| per event
40|31|An employee must be in employment for 820 hours during the qualifying period (Qualifying period means the first four of the last five completed calendar quarters or, if eligibility is not established, the last four completed calendar quarters immediately preceding the application for leave). The employee must also have worked at least 340 hours for the employer during the 12 months immediately preceding the date leave will commence. An employee that had coverage under the state plan retains the state plan coverage until the employee qualifies for coverage under the employers voluntary plan. If an employee was eligible to take benefits under the approved voluntary plan of a previous employer, that employee would be immediately eligible for benefits under the current employers voluntary plan.|During the qualifying period, an employee must be in employment for an additional amount of time during which they must be in employment?| 820 hours
41|31|An employee must be in employment for 820 hours during the qualifying period (Qualifying period means the first four of the last five completed calendar quarters or, if eligibility is not established, the last four completed calendar quarters immediately preceding the application for leave). The employee must also have worked at least 340 hours for the employer during the 12 months immediately preceding the date leave will commence. An employee that had coverage under the state plan retains the state plan coverage until the employee qualifies for coverage under the employers voluntary plan. If an employee was eligible to take benefits under the approved voluntary plan of a previous employer, that employee would be immediately eligible for benefits under the current employers voluntary plan.|If an employee had no coverage under the current employers plan, that employee would be immediately eligible for benefits under the current employers plan.| the current employers voluntary plan
42|32|In addition to the 12 weeks outlined in the companywide policy, as the the birthing parent you may take an additional 2 weeks of leave at $1,000 a week if pregnancy complications result in a longer recovery period. If one of your family members is under treatment or recovery for a serious medical condition and requires your care, you may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks.|If you are birthing, what is the additional time you may take to rest and recover from pregnancy complications?| 2 weeks
43|32|In addition to the 12 weeks outlined in the companywide policy, as the the birthing parent you may take an additional 2 weeks of leave at $1,000 a week if pregnancy complications result in a longer recovery period. If one of your family members is under treatment or recovery for a serious medical condition and requires your care, you may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks.|If you are birthing, what is the weekly pay you may take?| $1,000 a week
44|33|A secondary caregiver in Washington State, on Family Leave may take an additional 6 weeks of Family Leave, at $1,000 per week for those 6 weeks. This is in addition to the Family Leave given to all employees regardless of their state of residence. Family and personal leave may be taken together for a total of up to 16 weeks. If you are the birthing parent and require additional time to recover, you may take an additional 2 weeks at $1,000 per week for a total of 18 weeks.|For those who are on Family leave, what is the minimum amount of time for a caregiver to take time off?| 6 weeks
45|33|A secondary caregiver in Washington State, on Family Leave may take an additional 6 weeks of Family Leave, at $1,000 per week for those 6 weeks. This is in addition to the Family Leave given to all employees regardless of their state of residence. Family and personal leave may be taken together for a total of up to 16 weeks. If you are the birthing parent and require additional time to recover, you may take an additional 2 weeks at $1,000 per week for a total of 18 weeks.|For those who don't need a deduction for Family leave, what is the total amount per week they can take?| $1,000 per week
46|34|If one of your family members is in the military and you experience an exigency circumstance, 37signals has you covered. Exigency circumstances can include short-notice deployment, military events and related activities, childcare and school activities, counseling, and post- deployment activities. You may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks. Benefits will be calculated according to the Washington State policy RCW 50A.04.020(4) and (5).|If you are taking a week off, what is the minimum amount of time you will need to work?| 4 weeks
47|34|If one of your family members is in the military and you experience an exigency circumstance, 37signals has you covered. Exigency circumstances can include short-notice deployment, military events and related activities, childcare and school activities, counseling, and post- deployment activities. You may take 4 weeks off at 100% pay. If after 4 weeks you need more time, you may take up to an additional 8 weeks at 70% of your pay for a total of 12 weeks. Benefits will be calculated according to the Washington State policy RCW 50A.04.020(4) and (5).|If you are in a military and you experience an exigency circumstance, you may take 4 weeks off at what rate?| 100%
48|35|37signals will continue to maintain your health insurance and your job at 37signals through the duration of your leave.|Until the end of the last year, what kind of event was there to keep you safe during?|37signals
49|37|From a coworking space. If working from home or from a coffee shop doesnt suit you, then trying a coworking space might just do the trick. 37signals offers a $200/month stipend towards a desk in such a place. We also offer all staff an account with Deskpass if you need inspiration.|How much does it cost to sign up for a coworking space?| $200/month
50|37|From a coworking space. If working from home or from a coffee shop doesnt suit you, then trying a coworking space might just do the trick. 37signals offers a $200/month stipend towards a desk in such a place. We also offer all staff an account with Deskpass if you need inspiration.|Deskpass is an option if you need inspiration for what?| Deskpass
51|38|Values. Before anything else, values come first. Without clear, shared values, we wander independently and contradict one another. Everythings harder when we all believe different things about whats important to us, our company. Key values:. Be Straightforward. Whenever we speak internally or externally we should speak plainly and clearly. Watch out for lingo, assumptions, exaggeration, or other things that get in the way of a straightforward explanation. This doesnt mean we strip the poetry and personal expression from our language, but its got to make sense. With the exception of deep technical discussions, anyone who reads what we collectively write should simply get it without further explanation required. Dont use eight words when five will do.|When we speak internally, we should always be straight forward.| Be Straightforward
52|39|. Be fair and do the right thing. Whats fair? Whats the right thing? We all have to use our best judgment, and everyones judgment varies, but a good rule of thumb is what would you do for a friend or a neighbor if they asked for help? An example might be providing a refund even if its a little outside the refund window. Or being someone who says Sure we can do that for you when a customer expected you to say sorry, we cant. If the request is reasonable, grant it. At the same time, saying no is sometimes the right thing! If thats the case, dont feel badly about it.|Do you expect to help someone if they ask for help?| friend
53|40|. Levelheadedness. We should be calm, considered, and thoughtful in our dealings with each other and the world at large. We dont act out of spite, we dont rush to judgment, we dont jump to conclusions. If someone disagrees with us or attacks us we listen, we think, and we respond calmly and clearly directly addressing the idea or the situation, not the personality or the pressure.|Levelheadedness is a term for being calm, considerate, and thoughtful in our dealings with each other and the world at large.| Levelheadedness
54|41|. Generosity. Generosity is a wonderful virtue. Being generous is surprising someone on the other end with goodwill and asking for nothing in return. It could be time, attention, or treasure we give what were expected to, and then some. Independence. This ones a bit of a contradiction. After speaking about shared values, heres one that breaks away: Independence. We encourage independent thought and original thinking. Since day one, weve always done things our way. We dont look to the industry or our competitors for the way forward. We see things with our own eyes, make our own calls, and offer thoughts, perspectives, ideas, and products that we think are right, not that they think are right.|Since day one, weve always done things our way. We do what our way?| Independence
55|42|At some point, growing small businesses need a system, something to stay organized, something to grow with so they dont lose control of themselves along the way. Company-wide communication, team-based communication, and project work needs a home. Most companies cobble together a latticework of separate tools as they grow, but the weight of disorganization and lack of order collapses and eventually catches up to them. Email doesnt cut it anymore. More meetings arent going to solve the problem. And increasingly, incessant chatting creates exponentially more communication without the necessary structure and context to make it useful.|Doing what does not make a difference anymore?| Email
56|43|Cycles. We work in 6-week or 8-week cycles at 37signals. There are typically six cycles to a year. Two are 8-week cycles, during Summer Hours, and the rest 6-week cycles. This fixed cadence serves to give us an internal sense of urgency, work as a scope hammer to keep projects from ballooning, and provide a regular interval to decide what were working on.|How many cycles does it take for us to work in cycles?| six
57|44|Cycles. We work in 6-week or 8-week cycles at 37signals. There are typically six cycles to a year. Two are 8-week cycles, during Summer Hours, and the rest 6-week cycles. This fixed cadence serves to give us an internal sense of urgency, work as a scope hammer to keep projects from ballooning, and provide a regular interval to decide what were working on.|During what time of the year does the cycles last?| Summer Hours
58|45|The idea is not that everything we ever decide to work on has to take six or eight weeks or can be completed in that time. But rather that we think about how we can break big projects into smaller ones that can be done in that amount of time, and that we bundle smaller things into a presentable scope of work that can be discussed.|How many weeks does it take for us to work on a project| six or eight weeks
59|46|The idea is not that everything we ever decide to work on has to take six or eight weeks or can be completed in that time. But rather that we think about how we can break big projects into smaller ones that can be done in that amount of time, and that we bundle smaller things into a presentable scope of work that can be discussed.|What does the bundle of smaller things that can be discussed include?| work
60|47|This is particularly important for the product teams. Here we like to designate the work we take on with the scope in mind up front. We think of a small feature as a 1-weeker or a big feature as a 6-weeker (or anything in between). This designation helps us avoid a 1-weeker snowballing into a 4-weeker, just because people keep piling on more scope. Work is thus limited by a budget, and the budget focuses our discussion about whats reasonable and whats not. When a project starts slipping on its budget, the first approach should be to judo the problem and scope hammer the domain and certainly not make it up by working more hours! Most things we work on can fit within six normal weeks or eight summer weeks.|This is what is the name for the work that is done on a small feature?| 1-weeker
61|47|This is particularly important for the product teams. Here we like to designate the work we take on with the scope in mind up front. We think of a small feature as a 1-weeker or a big feature as a 6-weeker (or anything in between). This designation helps us avoid a 1-weeker snowballing into a 4-weeker, just because people keep piling on more scope. Work is thus limited by a budget, and the budget focuses our discussion about whats reasonable and whats not. When a project starts slipping on its budget, the first approach should be to judo the problem and scope hammer the domain and certainly not make it up by working more hours! Most things we work on can fit within six normal weeks or eight summer weeks.|Work is limited by a budget and the scope is what?| 6-weeker
62|48|Cooldown. In between each cycle, we spend two weeks cooling down. Thats the time to deal with bugs or smaller issues that come up, write up what we worked on, and figure out what we should tackle next. Its sometimes tempting to simply extend the cycles into the cooldown period to fit in more work. But the goal is to resist this temptation. Yes, sometimes a little spill-over will happen, but its helpful to think about the end of the normal cycle as pencils down. That means that by week 4 of a normal cycle, we should be winding down, getting ready to launch, make sure QA is lined up, and all the other work that happens during and after the launch of new projects.|How long does it take to cool down a bug?| two weeks
63|49|Communication. Its hard to keep up on what everyone is doing and what it means, if you just watch the stream of latest activity scrolling along in 37signals. (Its also a waste of time and source of stress to even try.) Instead, we have four chief mechanisms for keeping everyone in the loop about the work thats going on.|How many chief mechanisms are there for keeping everyone in the loop?| four
64|50|First, theres the daily question of What did you work on today?, which supplies the nitty gritty details, but as a personal narrative. Theyre a great conversation starter if you see someone working on something you either care about or want to learn more about. Please do use them as such! Youre obliged to answer this question at least twice a week.|What did you work on?| What did you work on today?,
65|50|First, theres the daily question of What did you work on today?, which supplies the nitty gritty details, but as a personal narrative. Theyre a great conversation starter if you see someone working on something you either care about or want to learn more about. Please do use them as such! Youre obliged to answer this question at least twice a week.|Do you take them as part of your weekly work?| twice a week
66|51|Second, theres the weekly question of What will you be working on this week?, which details your intentions for the coming week. Everyone except team OMG is obliged to answer this question when theyre not out. Daily and weekly check-ins are subdivided by department so you're only subscribed to your team's answers. You're of course free to subscribe to other team check-ins, but you're not obligated to do so if you find it too noisy.|What will you be working on this week?| What will you be working on this week?,
67|51|Second, theres the weekly question of What will you be working on this week?, which details your intentions for the coming week. Everyone except team OMG is obliged to answer this question when theyre not out. Daily and weekly check-ins are subdivided by department so you're only subscribed to your team's answers. You're of course free to subscribe to other team check-ins, but you're not obligated to do so if you find it too noisy.|What team are you of course not obligated to answer?| team OMG
68|52|Third, there are the heartbeats. These are the team versions of What did you work on this cycle? This is where we summarize and celebrate the work thats been done. Every team lead is obliged to write, or designate someone on the team to write, this account one week after a cycle has ended.|After a cycle has ended, a team must write what?| one week after
69|53|Fourth, and finally, there are the kickoffs. These are the team version of What are you going to work on next cycle? This is where the plan for the coming six or eight weeks is presented. Every team lead is obliged to write, or designate someone on the team to write, this account before the start of the new cycle. |These are the team version of what?| kickoffs
70|53|Fourth, and finally, there are the kickoffs. These are the team version of What are you going to work on next cycle? This is where the plan for the coming six or eight weeks is presented. Every team lead is obliged to write, or designate someone on the team to write, this account before the start of the new cycle. |what are the kickoffs?| What are
71|54|These mechanisms work together to free individuals and teams to run their days and cycles with confidence and independence. We have six opportunities per year to make big decisions about what to work on, and the rest of the time should chiefly be spent carrying out those short-term plans. By having clear expectations for communication, its easier for everyone to build trust in where were going and why.|How many opportunities does it take for everyone to make big decisions about what to do?| six
72|55|All these questions and write-ups will be posted in the What Works project for the current year. Pitches. Whether you work on the product development or not, your voice and observations can help determine what we should be working on. The way to exert this influence is through pitches. Write-up your idea of a new feature, a change to a feature, or any other product development you think we should be considering as a fully considered post (the more specific, the better). This gives the whole company a chance to consider and respond to the idea, and then well have the idea encapsulated in a post, available for reference at any time.|Pitches are what?| Pitches
73|55|All these questions and write-ups will be posted in the What Works project for the current year. Pitches. Whether you work on the product development or not, your voice and observations can help determine what we should be working on. The way to exert this influence is through pitches. Write-up your idea of a new feature, a change to a feature, or any other product development you think we should be considering as a fully considered post (the more specific, the better). This gives the whole company a chance to consider and respond to the idea, and then well have the idea encapsulated in a post, available for reference at any time.|Pitch help is a part of what?| pitches
74|56|Therell always be more pitches than we have time to field, though. So its important to have realistic expectations about what will happen after you posted your pitch. The default is simply that everyone involved with product development (and probably most everyone else in the company) will read and consider your pitch. Thats a win right there. Even if the full pitch doesnt make it in, it can impact other product decisions by shining light on a weak point.|If the pitch does not make it in, it will impact other decisions by shining light on a weak point.| company) will read and consider your pitch
75|56|Therell always be more pitches than we have time to field, though. So its important to have realistic expectations about what will happen after you posted your pitch. The default is simply that everyone involved with product development (and probably most everyone else in the company) will read and consider your pitch. Thats a win right there. Even if the full pitch doesnt make it in, it can impact other product decisions by shining light on a weak point.|What does the pitch help people see that is also important?| shining light on a weak point
76|57|Asynchronously. We have people working all sorts of different hours and from all sorts of different places at 37signals. That alone makes it hard to enforce a lot of tightly-coupled workflows during the day, but thats a feature not a bug. Most of the work you do at 37signals shouldnt require you to be in constant communication throughout the entire day with someone.|Asynchronous workflows are hard to enforce|Asynchronously
77|58|Asynchronously. We have people working all sorts of different hours and from all sorts of different places at 37signals. That alone makes it hard to enforce a lot of tightly-coupled workflows during the day, but thats a feature not a bug. Most of the work you do at 37signals shouldnt require you to be in constant communication throughout the entire day with someone.|Most of the work you do at 37signals should be handled by someone with whom you can communicate with without interrupting other people's work?| communication
78|59|Its far better for everyones concentration and sanity if you collaborate as though most things will get an answer eventually, but not necessarily right this second. Your first choice of action should be to post a message, a todo, or a document about what you need to explain or need to know. Then others can read it on their schedule, when the natural lulls of the day allow it, rather than being interrupted right in their peak flow time.|Do people who don't know what in advance have to post a message, a todo, or document about what?| a message, a todo, or a document
